Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0805_2012Metric",166.900000,-121.400000,0.000000,bottom
"C2","100nf","C_0805_2012Metric",191.050000,-104.900000,-90.000000,bottom
"C3","100nf","C_0805_2012Metric",184.550000,-120.450000,90.000000,bottom
"C4","100nf","C_0805_2012Metric",194.550000,-111.500000,180.000000,bottom
"C5","100nf","C_0805_2012Metric",186.521427,-120.450000,90.000000,bottom
"C6","100nf","C_0805_2012Metric",198.349989,-120.450000,90.000000,bottom
"C7","100nf","C_0805_2012Metric",189.062500,-104.900000,-90.000000,bottom
"C8","100nf","C_0805_2012Metric",192.750000,-116.350000,180.000000,bottom
"C9","100nf","C_0805_2012Metric",188.492854,-120.450000,90.000000,bottom
"C10","100nf","C_0805_2012Metric",181.050000,-115.600000,0.000000,bottom
"C11","100nf","C_0805_2012Metric",179.550000,-111.100000,0.000000,bottom
"C12","1uf","C_0805_2012Metric",194.407135,-120.450000,90.000000,bottom
"C13","1uf","C_0805_2012Metric",196.378562,-120.450000,90.000000,bottom
"C14","22pf","C_0805_2012Metric",185.087500,-104.900000,-90.000000,bottom
"C15","22pf","C_0805_2012Metric",183.100000,-104.900000,90.000000,bottom
"C16","1uf","C_0805_2012Metric",267.400000,-94.300000,180.000000,bottom
"C17","1uf","C_0805_2012Metric",267.440000,-100.400000,0.000000,bottom
"D1","D","D_SOD-323",45.460000,-36.800000,90.000000,bottom
"D2","D","D_SOD-323",64.510000,-36.800000,90.000000,bottom
"D3","D","D_SOD-323",83.560000,-36.800000,90.000000,bottom
"D4","D","D_SOD-323",102.610000,-36.800000,90.000000,bottom
"D5","D","D_SOD-323",121.660000,-36.800000,90.000000,bottom
"D6","D","D_SOD-323",140.710000,-36.800000,90.000000,bottom
"D7","D","D_SOD-323",159.760000,-36.800000,90.000000,bottom
"D8","D","D_SOD-323",178.810000,-36.800000,90.000000,bottom
"D9","D","D_SOD-323",197.860000,-36.800000,90.000000,bottom
"D10","D","D_SOD-323",216.910000,-36.800000,90.000000,bottom
"D11","D","D_SOD-323",235.960000,-36.800000,90.000000,bottom
"D12","D","D_SOD-323",255.010000,-36.800000,90.000000,bottom
"D13","D","D_SOD-323",274.060000,-36.800000,90.000000,bottom
"D14","D","D_SOD-323",302.635000,-36.800000,90.000000,bottom
"D15","D","D_SOD-323",315.600000,-36.800000,90.000000,bottom
"D16","D","D_SOD-323",50.222500,-55.850000,90.000000,bottom
"D17","D","D_SOD-323",74.035000,-55.850000,90.000000,bottom
"D18","D","D_SOD-323",93.085000,-55.850000,90.000000,bottom
"D19","D","D_SOD-323",112.135000,-55.850000,90.000000,bottom
"D20","D","D_SOD-323",131.185000,-55.850000,90.000000,bottom
"D21","D","D_SOD-323",150.235000,-55.850000,90.000000,bottom
"D22","D","D_SOD-323",169.285000,-55.850000,90.000000,bottom
"D23","D","D_SOD-323",188.335000,-55.850000,90.000000,bottom
"D24","D","D_SOD-323",207.385000,-55.850000,90.000000,bottom
"D25","D","D_SOD-323",226.435000,-55.850000,90.000000,bottom
"D26","D","D_SOD-323",245.485000,-55.850000,90.000000,bottom
"D27","D","D_SOD-323",264.535000,-55.850000,90.000000,bottom
"D28","D","D_SOD-323",283.585000,-55.850000,90.000000,bottom
"D29","D","D_SOD-323",307.397500,-55.850000,90.000000,bottom
"D30","D","D_SOD-323",331.210000,-55.850000,90.000000,bottom
"D31","D","D_SOD-323",47.841250,-74.900000,90.000000,bottom
"D32","D","D_SOD-323",78.797500,-74.900000,90.000000,bottom
"D33","D","D_SOD-323",97.847500,-74.900000,90.000000,bottom
"D34","D","D_SOD-323",116.897500,-74.900000,90.000000,bottom
"D35","D","D_SOD-323",135.947500,-74.900000,90.000000,bottom
"D36","D","D_SOD-323",154.997500,-74.900000,90.000000,bottom
"D37","D","D_SOD-323",174.047500,-74.900000,90.000000,bottom
"D38","D","D_SOD-323",193.097500,-74.900000,90.000000,bottom
"D39","D","D_SOD-323",212.147500,-74.900000,90.000000,bottom
"D40","D","D_SOD-323",231.197500,-74.900000,90.000000,bottom
"D41","D","D_SOD-323",250.247500,-74.900000,90.000000,bottom
"D42","D","D_SOD-323",269.297500,-74.900000,90.000000,bottom
"D43","D","D_SOD-323",300.253750,-74.900000,90.000000,bottom
"D44","D","D_SOD-323",331.210000,-74.900000,90.000000,bottom
"D45","D","D_SOD-323",57.366250,-93.950000,90.000000,bottom
"D46","D","D_SOD-323",88.322500,-93.950000,90.000000,bottom
"D47","D","D_SOD-323",107.372500,-93.950000,90.000000,bottom
"D48","D","D_SOD-323",126.422500,-93.950000,90.000000,bottom
"D49","D","D_SOD-323",145.472500,-93.950000,90.000000,bottom
"D50","D","D_SOD-323",164.522500,-93.950000,90.000000,bottom
"D51","D","D_SOD-323",183.572500,-93.950000,90.000000,bottom
"D52","D","D_SOD-323",202.622500,-93.950000,90.000000,bottom
"D53","D","D_SOD-323",221.672500,-93.950000,90.000000,bottom
"D54","D","D_SOD-323",240.722500,-93.950000,90.000000,bottom
"D55","D","D_SOD-323",259.772500,-93.950000,90.000000,bottom
"D56","D","D_SOD-323",285.966250,-93.950000,90.000000,bottom
"D57","D","D_SOD-323",312.160000,-93.950000,90.000000,bottom
"D58","D","D_SOD-323",331.210000,-93.950000,90.000000,bottom
"D59","D","D_SOD-323",47.841250,-113.000000,90.000000,bottom
"D60","D","D_SOD-323",71.653750,-113.000000,90.000000,bottom
"D61","D","D_SOD-323",95.466250,-113.000000,90.000000,bottom
"D62","D","D_SOD-323",166.903750,-113.000000,90.000000,bottom
"D63","D","D_SOD-323",238.341250,-113.000000,90.000000,bottom
"D64","D","D_SOD-323",262.153750,-113.000000,90.000000,bottom
"D65","D","D_SOD-323",293.110000,-113.000000,90.000000,bottom
"D66","D","D_SOD-323",312.160000,-113.000000,90.000000,bottom
"D67","D","D_SOD-323",331.210000,-113.000000,90.000000,bottom
"J1","UD","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",274.675000,-84.400000,0.000000,bottom
"J2","OLED","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",288.700000,-64.500000,0.000000,bottom
"J3","LEDs","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",56.000000,-81.500000,0.000000,bottom
"J4","Switch","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",312.550000,-64.500000,0.000000,bottom
"LED1","SK6812MINI-E","LED_6028R",38.100000,-33.100000,0.000000,bottom
"LED2","SK6812MINI-E","LED_6028R",57.150000,-33.100000,0.000000,bottom
"LED3","SK6812MINI-E","LED_6028R",76.200000,-33.100000,0.000000,bottom
"LED4","SK6812MINI-E","LED_6028R",95.250000,-33.100000,0.000000,bottom
"LED5","SK6812MINI-E","LED_6028R",114.300000,-33.100000,0.000000,bottom
"LED6","SK6812MINI-E","LED_6028R",133.350000,-33.100000,0.000000,bottom
"LED7","SK6812MINI-E","LED_6028R",152.400000,-33.100000,0.000000,bottom
"LED8","SK6812MINI-E","LED_6028R",171.450000,-33.100000,0.000000,bottom
"LED9","SK6812MINI-E","LED_6028R",190.500000,-33.100000,0.000000,bottom
"LED10","SK6812MINI-E","LED_6028R",209.550000,-33.100000,0.000000,bottom
"LED11","SK6812MINI-E","LED_6028R",228.600000,-33.100000,0.000000,bottom
"LED12","SK6812MINI-E","LED_6028R",247.650000,-33.100000,0.000000,bottom
"LED13","SK6812MINI-E","LED_6028R",266.700000,-33.100000,0.000000,bottom
"LED14","SK6812MINI-E","LED_6028R",295.275000,-33.100000,0.000000,bottom
"LED15","SK6812MINI-E","LED_6028R",323.850000,-38.100000,0.000000,bottom
"LED16","SK6812MINI-E","LED_6028R",42.862500,-52.150000,180.000000,bottom
"LED17","SK6812MINI-E","LED_6028R",66.675000,-52.150000,180.000000,bottom
"LED18","SK6812MINI-E","LED_6028R",85.725000,-52.150000,180.000000,bottom
"LED19","SK6812MINI-E","LED_6028R",104.775000,-52.150000,180.000000,bottom
"LED20","SK6812MINI-E","LED_6028R",123.825000,-52.150000,180.000000,bottom
"LED21","SK6812MINI-E","LED_6028R",142.875000,-52.150000,180.000000,bottom
"LED22","SK6812MINI-E","LED_6028R",161.925000,-52.150000,180.000000,bottom
"LED23","SK6812MINI-E","LED_6028R",180.975000,-52.150000,180.000000,bottom
"LED24","SK6812MINI-E","LED_6028R",200.025000,-52.150000,180.000000,bottom
"LED25","SK6812MINI-E","LED_6028R",219.075000,-52.150000,180.000000,bottom
"LED26","SK6812MINI-E","LED_6028R",238.125000,-52.150000,180.000000,bottom
"LED27","SK6812MINI-E","LED_6028R",257.175000,-52.150000,180.000000,bottom
"LED28","SK6812MINI-E","LED_6028R",276.225000,-52.150000,180.000000,bottom
"LED29","SK6812MINI-E","LED_6028R",300.037500,-52.150000,180.000000,bottom
"LED30","SK6812MINI-E","LED_6028R",323.850000,-52.150000,180.000000,bottom
"LED31","SK6812MINI-E","LED_6028R",40.481250,-71.200000,0.000000,bottom
"LED32","SK6812MINI-E","LED_6028R",71.437500,-71.200000,0.000000,bottom
"LED33","SK6812MINI-E","LED_6028R",90.487500,-71.200000,0.000000,bottom
"LED34","SK6812MINI-E","LED_6028R",109.537500,-71.200000,0.000000,bottom
"LED35","SK6812MINI-E","LED_6028R",128.587500,-71.200000,0.000000,bottom
"LED36","SK6812MINI-E","LED_6028R",147.637500,-71.200000,0.000000,bottom
"LED37","SK6812MINI-E","LED_6028R",166.687500,-71.200000,0.000000,bottom
"LED38","SK6812MINI-E","LED_6028R",185.737500,-71.200000,0.000000,bottom
"LED39","SK6812MINI-E","LED_6028R",204.787500,-71.200000,0.000000,bottom
"LED40","SK6812MINI-E","LED_6028R",223.837500,-71.200000,0.000000,bottom
"LED41","SK6812MINI-E","LED_6028R",242.887500,-71.200000,0.000000,bottom
"LED42","SK6812MINI-E","LED_6028R",261.937500,-71.200000,0.000000,bottom
"LED43","SK6812MINI-E","LED_6028R",292.893750,-71.200000,0.000000,bottom
"LED44","SK6812MINI-E","LED_6028R",323.850000,-71.200000,0.000000,bottom
"LED45","SK6812MINI-E","LED_6028R",50.006250,-90.250000,180.000000,bottom
"LED46","SK6812MINI-E","LED_6028R",80.962500,-90.250000,180.000000,bottom
"LED47","SK6812MINI-E","LED_6028R",100.012500,-90.250000,180.000000,bottom
"LED48","SK6812MINI-E","LED_6028R",119.062500,-90.250000,180.000000,bottom
"LED49","SK6812MINI-E","LED_6028R",138.112500,-90.250000,180.000000,bottom
"LED50","SK6812MINI-E","LED_6028R",157.162500,-90.250000,180.000000,bottom
"LED51","SK6812MINI-E","LED_6028R",176.212500,-90.250000,180.000000,bottom
"LED52","SK6812MINI-E","LED_6028R",195.262500,-90.250000,180.000000,bottom
"LED53","SK6812MINI-E","LED_6028R",214.312500,-90.250000,180.000000,bottom
"LED54","SK6812MINI-E","LED_6028R",233.362500,-90.250000,180.000000,bottom
"LED55","SK6812MINI-E","LED_6028R",252.412500,-90.250000,180.000000,bottom
"LED56","SK6812MINI-E","LED_6028R",278.606250,-90.250000,180.000000,bottom
"LED57","SK6812MINI-E","LED_6028R",304.800000,-90.250000,180.000000,bottom
"LED58","SK6812MINI-E","LED_6028R",323.850000,-90.250000,180.000000,bottom
"LED59","SK6812MINI-E","LED_6028R",40.481250,-109.300000,0.000000,bottom
"LED60","SK6812MINI-E","LED_6028R",64.293750,-109.300000,0.000000,bottom
"LED61","SK6812MINI-E","LED_6028R",88.106250,-109.300000,0.000000,bottom
"LED62","SK6812MINI-E","LED_6028R",159.543750,-109.300000,0.000000,bottom
"LED63","SK6812MINI-E","LED_6028R",230.981250,-109.300000,0.000000,bottom
"LED64","SK6812MINI-E","LED_6028R",254.793750,-109.300000,0.000000,bottom
"LED65","SK6812MINI-E","LED_6028R",285.750000,-109.300000,0.000000,bottom
"LED66","SK6812MINI-E","LED_6028R",304.800000,-109.300000,0.000000,bottom
"LED67","SK6812MINI-E","LED_6028R",323.850000,-109.300000,0.000000,bottom
"R1","10k","R_0805_2012Metric",168.800000,-111.400000,90.000000,bottom
"R2","27","R_0805_2012Metric",190.464281,-120.450000,90.000000,bottom
"R3","27","R_0805_2012Metric",192.435708,-120.450000,90.000000,bottom
"R4","10k","R_0805_2012Metric",129.800000,-120.750000,-90.000000,bottom
"R5","10k","R_0805_2012Metric",140.500000,-120.750000,-90.000000,bottom
"R6","1k","R_0805_2012Metric",187.075000,-104.900000,-90.000000,bottom
"U1","Flash","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",172.250000,-117.500000,-90.000000,bottom
"U2","V Reg","SOT-23-5",267.437500,-97.350000,-90.000000,bottom
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",186.900000,-112.750000,0.000000,bottom
"Y1","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",180.000000,-104.900000,180.000000,bottom
